Column1,State Code,County Code,Site Num,Address,State,County,City,Date Local,Days Since Last Obs,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
27837,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/9/2006,1,Parts per billion,12.391304,23,7,22,Parts per million,0.037667,0.041,16,35,Parts per billion,5.391304,8,6,11,Parts per million,0.317391,0.4,7,
27841,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/10/2006,1,Parts per billion,8,13,5,12,Parts per million,0.042708,0.049,8,42,Parts per billion,4,4,0,6,Parts per million,0.313043,0.4,4,
27845,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/11/2006,1,Parts per billion,10.956522,20,6,19,Parts per million,0.041125,0.046,8,39,Parts per billion,4.391304,7,16,10,Parts per million,0.291304,0.3,0,
27849,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/12/2006,1,Parts per billion,9,16,4,15,Parts per million,0.03675,0.042,9,36,Parts per billion,4.608696,6,5,9,Parts per million,0.291304,0.3,0,
27853,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/13/2006,1,Parts per billion,13.272727,29,23,27,Parts per million,0.026167,0.039,10,33,Parts per billion,5.136364,9,16,13,Parts per million,0.395455,0.7,23,
27857,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/14/2006,1,Parts per billion,17.478261,32,7,30,Parts per million,0.029667,0.043,11,36,Parts per billion,5.173913,7,8,10,Parts per million,0.547826,1.6,5,
27861,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/15/2006,1,Parts per billion,9.666667,22,5,21,Parts per million,0.031875,0.038,19,32,Parts per billion,4.619048,6,4,9,Parts per million,0.304762,0.4,5,
27865,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/16/2006,1,Parts per billion,14.869565,37,7,35,Parts per million,0.034667,0.045,10,38,Parts per billion,4.913043,10,8,14,Parts per million,0.478261,1.2,5,
27869,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/17/2006,1,Parts per billion,6.956522,14,0,13,Parts per million,0.042542,0.047,15,40,Parts per billion,4.086957,5,4,7,Parts per million,0.321739,0.4,4,
27873,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/18/2006,1,Parts per billion,10.086957,16,16,15,Parts per million,0.037375,0.047,8,40,Parts per billion,4.217391,5,4,7,Parts per million,0.352174,0.5,5,
